Campaign Name,Audience Name,Send Time,Status,Emails Sent,Open Rate,Click Rate,Unsubscribed
FOGGS Update June 2022 (copy 01),FOGGS,2022-06-16T12:10:32+00:00,,166,0.4695121951219512,0.054878048780487805,1
FOGGS Update July - August,FOGGS,2022-08-30T08:52:45+00:00,,172,0.5059523809523809,0.07142857142857142,1
FOGGS Update July - August (copy 01),"FOGGS (Emailing List, Team)",2022-08-30T08:54:02+00:00,,1865,0.33149476006618867,0.027578599007170437,10
Appeal to World Leaders | UNSG,Former UN Staff,2022-09-03T09:27:24+00:00,,264,0.8174904942965779,0.46387832699619774,2
FOGGS Update September - October,FOGGS,2022-10-20T12:00:00+00:00,,175,0.4682080924855491,0.06358381502890173,0
FOGGS Update September - October (copy 01),"FOGGS (Emailing List, Team)",2022-10-20T17:20:35+00:00,,1841,0.3171683389074693,0.023968784838350056,4
Appeal toG20 leaders,Former UN Staff,2022-11-12T08:35:52+00:00,,262,0.7837837837837838,0.4247104247104247,2
FOGGS Update November,"FOGGS (Emailing List, Team)",2022-11-25T10:42:44+00:00,,1821,0.3404614518851998,0.06752954417557681,12
FOGGS Update November (copy 01),FOGGS,2022-11-25T10:43:40+00:00,,185,0.489010989010989,0.12087912087912088,1
FOGGS Update December,FOGGS,2022-12-20T12:24:52+00:00,,185,0.4340659340659341,0.038461538461538464,2
FOGGS Update December (copy 01),"FOGGS (Emailing List, Team)",2022-12-20T12:26:02+00:00,,1801,0.32025028441410697,0.019908987485779295,4
FOGGS Update December (copy 02),,,,0,0,0,0
SOTF Consultations,Permanent Missions to the United Nations NY,2023-02-13T17:09:47+00:00,,2,1,0,0
SOTF Roundtable,Permanent Missions to the United Nations NY,2023-02-13T18:35:56+00:00,,184,0.5977653631284916,0.01675977653631285,1
FOGGS January-February Update,"FOGGS (Emailing List, Team)",2023-02-24T12:47:30+00:00,,1790,0.30888252148997136,0.014326647564469915,8
FOGGS January-February Update (copy 01),FOGGS,2023-02-24T12:53:43+00:00,,185,0.46408839779005523,0.055248618784530384,3
FOGGS January-February Update (copy 02),Former UN Staff,2023-02-24T12:55:58+00:00,,259,0.6937984496124031,0.11627906976744186,1
FOGGS March Update,"FOGGS (Emailing List, Team)",2023-03-29T16:14:01+00:00,,1767,0.3480278422273782,0.04524361948955916,2
FOGGS March Update (copy 01),FOGGS,2023-03-29T16:17:49+00:00,,184,0.4696132596685083,0.1270718232044199,1
FOGGS March Update (copy 02),Former UN Staff,2023-03-29T16:18:55+00:00,,257,0.703125,0.1015625,0
Letter to UNSG from former UN Staff members Apr 2023,Former UN Staff,2023-04-21T10:40:29+00:00,,256,0.74609375,0.39453125,1
FOGGS April-May Update,"FOGGS (Emailing List, Team)",2023-05-31T11:39:23+00:00,,1751,0.3661394258933802,0.053309900410076154,4
FOGGS April-May Update (copy 01),Former UN Staff,2023-05-31T11:43:25+00:00,,255,0.7193675889328063,0.10276679841897234,3
FOGGS April-May Update (copy 02),FOGGS,2023-05-31T11:52:26+00:00,,190,0.5459459459459459,0.13513513513513514,1
FOGGS June Update,"FOGGS (Emailing List, Team)",2023-06-30T10:01:38+00:00,,1740,0.4187683284457478,0.04281524926686217,5
FOGGS June Update (copy 01),FOGGS,2023-06-30T10:02:28+00:00,,192,0.5268817204301075,0.06989247311827956,0
