year,href,title,legacy
2024,assets/files/2024/10/A-Raft-for-the-Future-FOGGS-UN-Day-Event.pdf,A Raft for the Future FOGGS UN Day Event,/wp-content/uploads/2024/10/A-Raft-for-the-Future-FOGGS-UN-Day-Event.pdf
2024,assets/files/2024/10/PRG-Call-to-end-ME-violence-20-Oct-2024.pdf,PRG Call to end ME violence 20 Oct 2024,/wp-content/uploads/2024/10/PRG-Call-to-end-ME-violence-20-Oct-2024.pdf
2024,assets/files/2024/11/FancisMODonnell_Resolving_the_Israel_Palestine_Conundrum_FOGGS_Paper_November_2024.pdf,FancisMODonnell Resolving the Israel Palestine Conundrum FOGGS Paper November 2024,/wp-content/uploads/2024/11/FancisMODonnell_Resolving_the_Israel_Palestine_Conundrum_FOGGS_Paper_November_2024.pdf
2024,assets/files/2024/12/G_STAMATAKOS_LECTURE_AT_SPARTA_KOMVOS_21_DEC_2024_VERSION_2024_DEC_19_T_10_13_EET_FINAL_FINAL.pdf,G STAMATAKOS LECTURE AT SPARTA KOMVOS 21 DEC 2024 VERSION 2024 DEC 19 T 10 13 EET FINAL FINAL,/wp-content/uploads/2024/12/G_STAMATAKOS_LECTURE_AT_SPARTA_KOMVOS_21_DEC_2024_VERSION_2024_DEC_19_T_10_13_EET_FINAL_FINAL.pdf
2024,assets/files/2024/12/ONE_LEAF_LEAFLET_G_STAMATAKOS_SPARTA_KOMVOS_2024_DEC_19_T_10_04_EET_FINAL_FINAL.pdf,ONE LEAF LEAFLET G STAMATAKOS SPARTA KOMVOS 2024 DEC 19 T 10 04 EET FINAL FINAL,/wp-content/uploads/2024/12/ONE_LEAF_LEAFLET_G_STAMATAKOS_SPARTA_KOMVOS_2024_DEC_19_T_10_04_EET_FINAL_FINAL.pdf
2023,assets/files/2023/09/Article-on-PRG-Michael-Askwith-in-BAFUNCS-Newsletter-Autumn-2023.pdf,Article on PRG Michael Askwith in BAFUNCS Newsletter Autumn 2023,/wp-content/uploads/2023/09/Article-on-PRG-Michael-Askwith-in-BAFUNCS-Newsletter-Autumn-2023.pdf
2023,assets/files/2023/12/Call-to-World-Leaders-on-Gaza-Final-27-Dec-2023.pdf,Call to World Leaders on Gaza Final 27 Dec 2023,/wp-content/uploads/2023/12/Call-to-World-Leaders-on-Gaza-Final-27-Dec-2023.pdf
2023,assets/files/2023/09/FOGGS-and-HumanizaCom_Global-South-Perspectives-Report_September-2023.pdf,FOGGS and HumanizaCom Global South Perspectives Report September 2023,/wp-content/uploads/2023/09/FOGGS-and-HumanizaCom_Global-South-Perspectives-Report_September-2023.pdf
2023,assets/files/2023/08/FOGGS-Paper-20231-Reflection-Paper.pdf,FOGGS Paper 20231 Reflection Paper,/wp-content/uploads/2023/08/FOGGS-Paper-20231-Reflection-Paper.pdf
2023,assets/files/2023/06/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-with-Addendum-April2022.pdf,Letter to UNSG on Ukraine with signatures of former UN staff with Addendum April2022,/wp-content/uploads/2023/06/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-with-Addendum-April2022.pdf
2023,assets/files/2023/06/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-with-Addendum-April2023.pdf,Letter to UNSG on Ukraine with signatures of former UN staff with Addendum April2023,/wp-content/uploads/2023/06/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-with-Addendum-April2023.pdf
2023,assets/files/2023/07/PRG-Appeal-to-prevent-nuclear-disaster-at-Zaporizhzhia-NPP-3-July-2023-Final-with-signatories.pdf,PRG Appeal to prevent nuclear disaster at Zaporizhzhia NPP 3 July 2023 Final with signatories,/wp-content/uploads/2023/07/PRG-Appeal-to-prevent-nuclear-disaster-at-Zaporizhzhia-NPP-3-July-2023-Final-with-signatories.pdf
2023,assets/files/2023/09/PRG-Booklet-on-An-Enhanced-Role-for-the-UN-in-Peace-and-Human-Security-Final10Sept2023_FOGGS-Papers-2023.pdf,PRG Booklet on An Enhanced Role for the UN in Peace and Human Security Final10Sept2023 FOGGS Papers 2023,/wp-content/uploads/2023/09/PRG-Booklet-on-An-Enhanced-Role-for-the-UN-in-Peace-and-Human-Security-Final10Sept2023_FOGGS-Papers-2023.pdf
2023,assets/files/2023/02/PRG-contribution-to-UNSG-New-Agenda-for-Peace-Final15Jan2023.pdf,PRG contribution to UNSG New Agenda for Peace Final15Jan2023,/wp-content/uploads/2023/02/PRG-contribution-to-UNSG-New-Agenda-for-Peace-Final15Jan2023.pdf
2023,assets/files/2023/10/PRG-Statement-on-Israel-Gaza_21Oct2023_Final.pdf,PRG Statement on Israel Gaza 21Oct2023 Final,/wp-content/uploads/2023/10/PRG-Statement-on-Israel-Gaza_21Oct2023_Final.pdf
2023,assets/files/2023/10/The-Zaporizhzhia-Case-FOGGS-Papers-2023.pdf,The Zaporizhzhia Case FOGGS Papers 2023,/wp-content/uploads/2023/10/The-Zaporizhzhia-Case-FOGGS-Papers-2023.pdf
2023,assets/files/2023/02/Europe-RFF-13March2023-C4UN_Poster.pdf,Europe RFF 13March2023 C4UN Poster,/wp-content/uploads/2023/02/Europe-RFF-13March2023-C4UN_Poster.pdf
2023,assets/files/2023/03/FOGGS_Georgios-Kostakos-contribution-to-the-EP-consultations-by-the-SOTF-Co-facilitators-16-March-2023.pdf,FOGGS Georgios Kostakos contribution to the EP consultations by the SOTF Co facilitators 16 March 2023,/wp-content/uploads/2023/03/FOGGS_Georgios-Kostakos-contribution-to-the-EP-consultations-by-the-SOTF-Co-facilitators-16-March-2023.pdf
2023,assets/files/2023/03/FOGGS_Global-Resilience-Council-GRC-proposal_elevator-pitch_March-2023-vs28Mar2023.pdf,FOGGS Global Resilience Council GRC proposal elevator pitch March 2023 vs28Mar2023,/wp-content/uploads/2023/03/FOGGS_Global-Resilience-Council-GRC-proposal_elevator-pitch_March-2023-vs28Mar2023.pdf
2023,assets/files/2023/04/FOGGS-Statute-modification-March-2023-MoniteurBelge23042058.pdf,FOGGS Statute modification March 2023 MoniteurBelge23042058,/wp-content/uploads/2023/04/FOGGS-Statute-modification-March-2023-MoniteurBelge23042058.pdf
2023,assets/files/2023/04/Letter-to-the-UNSG-by-former-UN-system-staff-dated-26-April-2023with-signatures.pdf,Letter to the UNSG by former UN system staff dated 26 April 2023with signatures,/wp-content/uploads/2023/04/Letter-to-the-UNSG-by-former-UN-system-staff-dated-26-April-2023with-signatures.pdf
2023,assets/files/2023/04/New-Draft-Letter-to-the-SG-Rev_20-Aprilb.pdf,New Draft Letter to the SG Rev 20 Aprilb,/wp-content/uploads/2023/04/New-Draft-Letter-to-the-SG-Rev_20-Aprilb.pdf
2023,assets/files/2023/05/Interim-Peoples-Pact-for-the-Future-Compressed-3-as-published-on-19-May-2023.pdf,Interim Peoples Pact for the Future Compressed 3 as published on 19 May 2023,/wp-content/uploads/2023/05/Interim-Peoples-Pact-for-the-Future-Compressed-3-as-published-on-19-May-2023.pdf
2023,assets/files/2023/08/A-Second-Charter_Imagining-a-Renewed-United-Nations_2023.pdf,A Second Charter Imagining a Renewed United Nations 2023,/wp-content/uploads/2023/08/A-Second-Charter_Imagining-a-Renewed-United-Nations_2023.pdf
2023,assets/files/2023/09/FOGGS-and-HumanizaCom_Global-South-Perspectives-Report-September-2023.pdf,FOGGS and HumanizaCom Global South Perspectives Report September 2023,/wp-content/uploads/2023/09/FOGGS-and-HumanizaCom_Global-South-Perspectives-Report-September-2023.pdf
2023,assets/files/2023/09/PRG-FOGGS-Zaporizhzhia-A.Zurita-25.09.2023-Final_Presentation.pdf,PRG FOGGS Zaporizhzhia A.Zurita 25.09.2023 Final Presentation,/wp-content/uploads/2023/09/PRG-FOGGS-Zaporizhzhia-A.Zurita-25.09.2023-Final_Presentation.pdf
2023,assets/files/2023/10/CA_NOW_E1_131023_P06_Article-by-Buyelwa-Sonjica-on-the-Global-Resilience-Council-Oct2023.pdf,CA NOW E1 131023 P06 Article by Buyelwa Sonjica on the Global Resilience Council Oct2023,/wp-content/uploads/2023/10/CA_NOW_E1_131023_P06_Article-by-Buyelwa-Sonjica-on-the-Global-Resilience-Council-Oct2023.pdf
2023,assets/files/2023/10/GK-Presentation-of-global-citizenship-at-ECPR-General-Conference_7Sept2023-REV1.pdf,GK Presentation of global citizenship at ECPR General Conference 7Sept2023 REV1,/wp-content/uploads/2023/10/GK-Presentation-of-global-citizenship-at-ECPR-General-Conference_7Sept2023-REV1.pdf
2023,assets/files/2023/11/Signatories-of-the-PRG-Statement-in-support-of-the-UNSG.pdf,Signatories of the PRG Statement in support of the UNSG,/wp-content/uploads/2023/11/Signatories-of-the-PRG-Statement-in-support-of-the-UNSG.pdf
2023,assets/files/2023/12/Call-to-World-Leaders-on-Gaza-Final_27-Dec-2023b.pdf,Call to World Leaders on Gaza Final 27 Dec 2023b,/wp-content/uploads/2023/12/Call-to-World-Leaders-on-Gaza-Final_27-Dec-2023b.pdf
2022,assets/files/2022/11/Brief-Overview-of-the-PRG-Final-Nov2022.pdf,Brief Overview of the PRG Final Nov2022,/wp-content/uploads/2022/11/Brief-Overview-of-the-PRG-Final-Nov2022.pdf
2022,assets/files/2022/03/Discussion-Summary-27Jan22-informal-FOGGS-roundtable-on-OCA.pdf,Discussion Summary 27Jan22 informal FOGGS roundtable on OCA,/wp-content/uploads/2022/03/Discussion-Summary-27Jan22-informal-FOGGS-roundtable-on-OCA.pdf
2022,assets/files/2022/03/Discussion_Summary-FOGGS_closed_roundtable_18_Feb_2022_final.pdf,Discussion Summary FOGGS closed roundtable 18 Feb 2022 final,/wp-content/uploads/2022/03/Discussion_Summary-FOGGS_closed_roundtable_18_Feb_2022_final.pdf
2022,assets/files/2022/08/FOGGS-proposal-submitted-to-UN-HLAB-on-a-Global-Resilience-Council-12-August-2022.pdf,FOGGS proposal submitted to UN HLAB on a Global Resilience Council 12 August 2022,/wp-content/uploads/2022/08/FOGGS-proposal-submitted-to-UN-HLAB-on-a-Global-Resilience-Council-12-August-2022.pdf
2022,assets/files/2022/07/Global-Governance-Reform-proposals_a-Taxonomy_Draft5-21June2022-FOGGS.pdf,Global Governance Reform proposals a Taxonomy Draft5 21June2022 FOGGS,/wp-content/uploads/2022/07/Global-Governance-Reform-proposals_a-Taxonomy_Draft5-21June2022-FOGGS.pdf
2022,assets/files/2022/04/GRC-Climate-Paper-Complete.pdf,GRC Climate Paper Complete,/wp-content/uploads/2022/04/GRC-Climate-Paper-Complete.pdf
2022,assets/files/2022/10/GRC-Pandemic-Discussion-Paper-Final-June-2022.pdf,GRC Pandemic Discussion Paper Final June 2022,/wp-content/uploads/2022/10/GRC-Pandemic-Discussion-Paper-Final-June-2022.pdf
2022,assets/files/2022/09/Open-Letter-to-UNSG-and-world-leaders-from-former-UN-system-staff-7Sept2022-FINAL.pdf,Open Letter to UNSG and world leaders from former UN system staff 7Sept2022 FINAL,/wp-content/uploads/2022/09/Open-Letter-to-UNSG-and-world-leaders-from-former-UN-system-staff-7Sept2022-FINAL.pdf
2022,assets/files/2022/01/FOGGS_Georgios-Kostakos-Presentation-at-C4UN-Global-Peoples-Forum-8Dec2021Final.pdf,FOGGS Georgios Kostakos Presentation at C4UN Global Peoples Forum 8Dec2021Final,/wp-content/uploads/2022/01/FOGGS_Georgios-Kostakos-Presentation-at-C4UN-Global-Peoples-Forum-8Dec2021Final.pdf
2022,assets/files/2022/04/Addendum-to-the-Letter-to-UNSG-by-former-UN-officials-dated-15th-April-2022.pdf,Addendum to the Letter to UNSG by former UN officials dated 15th April 2022,/wp-content/uploads/2022/04/Addendum-to-the-Letter-to-UNSG-by-former-UN-officials-dated-15th-April-2022.pdf
2022,assets/files/2022/04/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-as-of-18Apr2022-08h00-NY-Time.pdf,Letter to UNSG on Ukraine with signatures of former UN staff as of 18Apr2022 08h00 NY Time,/wp-content/uploads/2022/04/Letter-to-UNSG-on-Ukraine-with-signatures-of-former-UN-staff-as-of-18Apr2022-08h00-NY-Time.pdf
2022,assets/files/2022/05/Second-letter-of-former-UN-staff-to-the-UNSG-on-Ukraine-13May2022.pdf,Second letter of former UN staff to the UNSG on Ukraine 13May2022,/wp-content/uploads/2022/05/Second-letter-of-former-UN-staff-to-the-UNSG-on-Ukraine-13May2022.pdf
2022,assets/files/2022/08/FOGGS-proposal-submitted-to-UN-HLAB-on-a-series-of-global-conferences-12-August-2022.pdf,FOGGS proposal submitted to UN HLAB on a series of global conferences 12 August 2022,/wp-content/uploads/2022/08/FOGGS-proposal-submitted-to-UN-HLAB-on-a-series-of-global-conferences-12-August-2022.pdf
2022,assets/files/2022/09/FOGGS-23-September-NYC-event_per020922-1135.pdf,FOGGS 23 September NYC event per020922 1135,/wp-content/uploads/2022/09/FOGGS-23-September-NYC-event_per020922-1135.pdf
